Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
1213359,2020-05-22 19:11:13,4979422371139333,"fraud_Lubowitz, Terry and Stracke",personal_care,73.72,Kelly,Zimmerman,F,1893 Katie Tunnel,Westerville,NE,68881,41.4193,-99.3844,73,Product designer,1935-02-10,9c83b876f913ff0af1a9f9f994f33516,1369249873,40.716755,-99.088795,0
1202749,2020-05-18 00:39:01,3504178999463051,fraud_Emard Inc,gas_transport,50.69,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",1992-07-23,a0ae1a0bea9949041c1019e3e7505bac,1368837541,41.446503,-83.168706,0
165039,2019-03-28 18:46:05,3591919803438423,fraud_Torphy-Kertzmann,health_fitness,38.31,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,32780,28.5697,-80.8191,54767,Set designer,1987-07-25,11797279edc2754caaa2a9823a79e11a,1332960365,28.745358000000003,-81.232635,0
851146,2019-12-15 17:34:03,180084576295055,fraud_Bogisich-Weimann,kids_pets,3.99,David,Kirby,M,133 Alyssa Plains,Lolita,TX,77971,28.7724,-96.4793,911,Archaeologist,1970-01-18,0b601aba5d83a301922db5cd937b75cd,1355592843,29.28476,-96.442756,0
143928,2019-03-18 18:53:07,4935858973307492,"fraud_Crist, Jakubowski and Littel",home,76.03,Lance,Wagner,M,6003 Brady Shoal Apt. 449,Irwinton,GA,31042,32.8088,-83.17399999999999,1841,Film/video editor,1975-06-01,f0c87a50d348e770542359bb9a45df98,1332096787,32.375422,-82.28353,0
1240312,2020-06-01 10:38:54,180069253480336,"fraud_Schumm, McLaughlin and Carter",food_dining,41.44,William,Hunter,M,5036 Victoria Ports Suite 249,Emporium,PA,15834,41.5177,-78.2536,4533,Public affairs consultant,1969-11-01,864889341f8e9a4d91edd097992de912,1370083134,41.369922,-78.530426,0
823661,2019-12-09 09:33:56,180072527505094,"fraud_Schaefer, McGlynn and Bosco",gas_transport,97.05,Cody,Miller,M,25748 John Wells,Mooresville,NC,28117,35.584,-80.8685,69793,Control and instrumentation engineer,1953-12-08,8412d5a5eb9ca172019b437efc2feeb9,1355045636,34.689933,-80.136622,0
120107,2019-03-09 00:38:47,340953839692349,fraud_Corwin-Gorczany,misc_net,6.1,Tyler,Wright,M,615 Clarke Spring Apt. 172,Warren,MI,48088,42.5164,-82.9832,134056,"Doctor, hospital",1980-05-18,c4571fa22bafa4a5201ca69ccdab83db,1331253527,41.999106,-82.21047,0
533329,2019-08-17 17:08:39,2252055259910912,fraud_Kihn Inc,shopping_pos,134.79,Jason,Hernandez,M,220 Frank Gardens,Hewitt,WI,54441,44.6437,-90.1031,828,Arts development officer,1991-08-19,7619712bbd620481ac9571162f390c9c,1345223319,45.318128,-89.560273,0
388220,2019-06-27 01:33:42,4904681492230012,fraud_Bartoletti-Wunsch,gas_transport,93.88,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19,d68f2ad3f1bea36bfa104625c0decac5,1340760822,42.266411,-74.145499,0
347303,2019-06-12 10:35:40,5127412150261034,"fraud_Stroman, Hudson and Erdman",gas_transport,75.09,David,Campbell,M,2989 Murray Inlet,Washington,DC,20017,38.9367,-76.994,601723,"Psychotherapist, child",1991-02-04,2d3c0e7e6e86e5ec67e3e5dc20f1fa12,1339497340,38.236511,-77.437167,0
710284,2019-10-30 08:13:45,30143713661454,"fraud_Kerluke, Kertzmann and Wiza",misc_net,6.5,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1942-01-06,199ae2976d7a56fa97e5b9c3bf91a5df,1351584825,48.247888,-97.090864,0
1157414,2020-04-27 18:51:59,2706977570537524,fraud_Pacocha-Weissnat,kids_pets,45.93,David,Serrano,M,4739 Martin Common,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,1978-12-18,064b8b049e5b150526586663153105a8,1367088719,39.180239,-82.47867099999999,0
1155622,2020-04-27 05:43:11,2264937662466770,fraud_McCullough Group,grocery_net,72.08,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,78214,29.3641,-98.4924,1595797,Land,1995-10-17,b9193a087c66a04e9f1cb74dc98bffea,1367041391,28.399126000000003,-97.780517,0
1218171,2020-05-24 18:07:38,2283743876903625,"fraud_Roberts, Daniel and Macejkovic",kids_pets,57.7,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,1997-12-27,2575125518aba3e7307f6506f801f579,1369418858,33.40916,-83.53777099999999,0
991156,2020-02-09 02:20:29,4914700582394237,"fraud_Huel, Hammes and Witting",grocery_pos,89.32,John,Williams,M,8929 Phillips Corners Suite 259,Harmony,PA,16037,40.8496,-80.1381,4589,Bookseller,1956-05-01,87e45592b909c2961c5fa01925bf674c,1360376429,39.945661,-79.810765,0
415358,2019-07-06 21:48:10,4509142395811241,fraud_Berge-Ullrich,home,3.75,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",1926-07-12,cb4e9a0fc80e1d2a9a43a4f7c34ab74d,1341611290,30.889102,-82.400805,0
489986,2019-08-02 13:01:58,6011438889172900,fraud_Schroeder Group,health_fitness,126.94,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,1993-04-08,1f249c767db7b04ebf6a7b9404df25dd,1343912518,34.201159999999994,-90.99755,0
227765,2019-04-25 10:03:30,3564839259330465,"fraud_Schaefer, Maggio and Daugherty",gas_transport,41.77,Robert,Ashley,M,1250 Christopher Prairie Suite 016,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,1959-03-31,b00d95a6f466426f08d81269e231ae53,1335348210,38.90887,-121.36476,0
57264,2019-02-03 21:55:43,4836998673805450,fraud_Haag-Blanda,food_dining,113.42,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,671d6e70f506daeca55345a35d9237d6,1328306143,45.963738,-86.71847700000001,0
1043322,2020-03-08 23:28:23,3518669219150142,fraud_Thiel-Thiel,entertainment,25.05,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.23299999999999,31394,Hospital doctor,1996-11-12,379100567d0c129cf569fd07fd3d0839,1362785303,38.788125,-83.99960300000001,0
1063509,2020-03-17 07:24:25,30092964733035,"fraud_Parisian, Schiller and Altenwerth",misc_net,38.16,Jessica,Terry,F,6412 Elizabeth Gardens Suite 633,Maysville,KY,41056,38.6207,-83.8067,14228,Advertising account executive,1971-03-26,5a823941258a0f737106f3cfd467dae0,1363505065,39.457166,-84.14302099999999,0
854625,2019-12-16 06:31:10,4364010865167176,fraud_Berge LLC,gas_transport,59.53,Gary,Martinez,M,03512 Jackson Ports,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,1997-03-12,b417573e58ad1b4ba6b1abb4e1588f29,1355639470,39.57576,-119.175003,0
1202890,2020-05-18 02:00:29,3586008444788268,fraud_Klocko LLC,misc_net,98.01,Crystal,Fuller,F,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,1984-02-29,c98326ac553dafbb29dd5ff24c363f27,1368842429,47.731039,-122.338179,0
1223518,2020-05-26 03:20:00,3566875419572867,fraud_Schmeler Inc,misc_pos,31.81,Adam,Mcdonald,M,997 Cameron Meadow Apt. 980,South Hero,VT,5486,44.64,-73.3113,1654,Transport planner,1991-01-31,13a092632411bb8b15f2dfde48f2a7e9,1369538400,44.482286,-72.477324,0
509944,2019-08-09 13:32:56,4587657402165341815,fraud_Dietrich-Fadel,health_fitness,75.68,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,a34d4a84f69432b348934a08a94c41ee,1344519176,40.553689,-87.99687800000001,0
577405,2019-09-01 20:44:29,349612764943496,fraud_Kertzmann LLC,health_fitness,76.72,Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",1984-06-04,553a1c0d1a7d9a1cc393b2886acb7583,1346532269,36.622282,-82.823269,0
74346,2019-02-13 01:21:22,30033162392091,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,158.67,Kevin,Summers,M,7302 Samantha Mission,Carroll,NE,68723,42.277,-97.1926,566,Metallurgist,1975-01-26,28765c11a739671b688efc132e11665b,1329096082,41.86452,-96.501133,0
108385,2019-03-03 13:58:59,2714019737356678,fraud_Morissette LLC,entertainment,69.81,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,1995-08-30,8cd4dd98a935df598fdd32a1c6e4d284,1330783139,40.681969,-79.958176,0
791048,2019-12-02 04:50:38,180031190491743,fraud_Auer-Mosciski,grocery_pos,199.45,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,6809805a0f8bd851dfad03ad35a63773,1354423838,30.176354,-89.082329,0
43175,2019-01-26 19:51:10,3518234918950662,"fraud_Weber, Thiel and Hammes",kids_pets,12.3,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,1970-09-11,33257a3db579a9676b63063211b597f3,1327607470,34.249652000000005,-97.250355,0
764305,2019-11-23 17:03:33,501802953619,fraud_Schroeder Group,health_fitness,35.59,Robert,Flores,M,3277 Fields Meadows Apt. 790,Greenview,CA,96037,41.5403,-122.9366,308,Call centre manager,1958-09-20,54c76c726ea5f599d397961970983a58,1353690213,42.391908,-123.720284,0
407572,2019-07-03 23:09:56,38052002992326,fraud_Kozey-Kuhlman,personal_care,1.44,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,15c57c549f5f9332329bf090f19477c7,1341356996,30.392734,-95.320742,0
